architecture,epoch,train_rmse,val_rmse,overfit_gap
Physics-Reg.,183,0.0890992,0.0828748,-0.00622438
Physics-Reg.,184,0.0892415,0.0829748,-0.00626665
Physics-Reg.,185,0.0890869,0.0828427,-0.00624417
Physics-Reg.,186,0.0887534,0.0827327,-0.00602075
Physics-Reg.,187,0.0886698,0.082961,-0.00570878
Physics-Reg.,188,0.0886966,0.0829248,-0.00577182
Physics-Reg.,189,0.0883936,0.0829735,-0.00542014
Physics-Reg.,190,0.0882319,0.0825991,-0.00563282
Physics-Reg.,191,0.0884822,0.082849,-0.00563322
Physics-Reg.,192,0.0887322,0.0828575,-0.00587469
Physics-Reg.,193,0.0882607,0.0826667,-0.00559406
Physics-Reg.,194,0.0882201,0.0826286,-0.00559155
Physics-Reg.,195,0.0880987,0.0826536,-0.00544513
Physics-Reg.,196,0.0885571,0.0824884,-0.0060687
Physics-Reg.,197,0.0886054,0.0828067,-0.00579864
Physics-Reg.,198,0.0879919,0.0828301,-0.0051618
Physics-Reg.,199,0.0883958,0.0827893,-0.00560649
Physics-Reg.,200,0.0879997,0.0829728,-0.00502696
Physics-Reg.,201,0.0880054,0.0827672,-0.0052382
Physics-Reg.,202,0.0880623,0.0823852,-0.00567703
Physics-Reg.,203,0.0877346,0.0825877,-0.00514689
Physics-Reg.,204,0.0876986,0.0820938,-0.00560479
Physics-Reg.,205,0.0876884,0.0823726,-0.00531575
Physics-Reg.,206,0.0877483,0.0825473,-0.00520098
Physics-Reg.,207,0.0874642,0.0824359,-0.00502831
Physics-Reg.,208,0.0874979,0.0825368,-0.00496108
Physics-Reg.,209,0.0874482,0.0824061,-0.00504213
Physics-Reg.,210,0.0875618,0.082407,-0.00515479
Physics-Reg.,211,0.0876642,0.0829571,-0.00470715
Physics-Reg.,212,0.0880387,0.0826518,-0.00538689
Physics-Reg.,213,0.0877569,0.0827212,-0.00503572
Physics-Reg.,214,0.087364,0.0821051,-0.00525892
Physics-Reg.,215,0.0874785,0.082526,-0.00495252
Physics-Reg.,216,0.0872576,0.0823696,-0.00488795
Physics-Reg.,217,0.08683,0.0820394,-0.00479059
Physics-Reg.,218,0.0870625,0.0823299,-0.00473257
Physics-Reg.,219,0.086856,0.0822432,-0.0046128
Physics-Reg.,220,0.0869501,0.0822902,-0.00465988
Physics-Reg.,221,0.0870535,0.0823863,-0.00466715
Physics-Reg.,222,0.0868131,0.082193,-0.00462013
Physics-Reg.,223,0.0866425,0.0823244,-0.00431809
Physics-Reg.,224,0.0866365,0.0821932,-0.00444327
Physics-Reg.,225,0.0866031,0.0821878,-0.00441524
Physics-Reg.,226,0.0869918,0.0817251,-0.00526675
Physics-Reg.,227,0.0867692,0.082217,-0.0045521
Physics-Reg.,228,0.0868384,0.0820624,-0.00477607
Physics-Reg.,229,0.0867931,0.0825298,-0.00426339
Physics-Reg.,230,0.0868144,0.0821796,-0.00463487
